Id,Date,Time,Country,League,HomeTeam,AwayTeam,Odd_H_FT,Odd_D_FT,Odd_A_FT,Odd_Over25_FT,Odd_Under25_FT,Odd_BTTS_Yes,Odd_BTTS_No,Time_Str
I7FDv9kU,03/05/2025,15:00,NETHERLANDS,NETHERLANDS: EREDIVISIE,Groningen,Waalwijk,1.73,3.8,4.75,1.85,2.0,1.8,1.95,03/05/2025 15:00
O845BkKi,03/05/2025,16:00,NETHERLANDS,NETHERLANDS: EREDIVISIE,PSV,Sittard,1.1,9.5,21.0,1.22,4.2,1.8,1.95,03/05/2025 16:00
8x0Qsypd,03/05/2025,09:00,SPAIN,SPAIN: LALIGA,Alaves,Atl. Madrid,3.7,3.1,2.15,2.5,1.53,2.1,1.67,03/05/2025 09:00
tK5afET1,03/05/2025,11:15,SPAIN,SPAIN: LALIGA,Villarreal,Osasuna,1.53,4.2,6.0,1.62,2.3,1.7,2.05,03/05/2025 11:15
nNBHqcFq,03/05/2025,13:30,SPAIN,SPAIN: LALIGA,Las Palmas,Valencia,2.63,3.3,2.7,2.07,1.83,1.8,1.95,03/05/2025 13:30
WAoL3I6F,03/05/2025,16:00,SPAIN,SPAIN: LALIGA,Valladolid,Barcelona,15.0,8.5,1.14,1.22,4.33,1.75,2.0,03/05/2025 16:00
WjXM3c1k,03/05/2025,10:00,AFRICA,AFRICA: AFRICAN NATIONS CHAMPIONSHIP - QUALIFICATION - ADDITIONAL QUALIFICATION - FINAL,Malawi,South Africa,,,,,,,,03/05/2025 10:00
jFbq0pbE,03/05/2025,12:00,AFRICA,AFRICA: AFRICAN NATIONS CHAMPIONSHIP - QUALIFICATION - ADDITIONAL QUALIFICATION - FINAL,Gambia,Algeria,,,,,,,,03/05/2025 12:00
CGDLWqJj,03/05/2025,12:00,AFRICA,AFRICA: AFRICA CUP OF NATIONS U20,Egypt U20,Zambia U20,,,,,,,,03/05/2025 12:00
hWWlx6eT,03/05/2025,12:00,AFRICA,AFRICA: AFRICA CUP OF NATIONS U20,Tanzania U20,Sierra Leone U20,,,,,,,,03/05/2025 12:00
xKSgymJr,03/05/2025,12:00,ALGERIA,ALGERIA: U21 LEAGUE,CR Belouizdad U21,MC Alger U21,2.7,2.92,2.5,1.55,2.15,1.46,2.55,03/05/2025 12:00
WQitaJon,03/05/2025,14:00,ANDORRA,ANDORRA: PRIMERA DIVISIÓ,Pas de la Casa,Penya,,,,,,,,03/05/2025 14:00
thNpx084,03/05/2025,16:00,ARGENTINA,ARGENTINA 1,Dep. Riestra,Godoy Cruz,2.63,2.7,3.2,3.1,1.36,2.38,1.53,03/05/2025 16:00
86wRHVMk,03/05/2025,16:00,ARGENTINA,ARGENTINA 1,Sarmiento Junin,San Lorenzo,3.3,2.63,2.7,3.4,1.33,2.38,1.53,03/05/2025 16:00
EJ8RF9i2,03/05/2025,16:00,ARGENTINA,ARGENTINA 1,Talleres Cordoba,Instituto,2.25,3.1,3.6,2.5,1.5,2.05,1.7,03/05/2025 16:00
xKGgzvwH,03/05/2025,18:30,ARGENTINA,ARGENTINA 1,Rosario Central,Independiente,2.4,2.88,3.5,2.7,1.44,2.2,1.62,03/05/2025 18:30
YRJxvMwh,03/05/2025,21:00,ARGENTINA,ARGENTINA 1,Atl. Tucuman,Lanus,1.91,3.3,4.33,2.5,1.5,2.25,1.57,03/05/2025 21:00
fya3PMOb,03/05/2025,21:00,ARGENTINA,ARGENTINA 1,Huracan,Barracas Central,1.7,3.5,5.5,2.7,1.44,2.5,1.5,03/05/2025 21:00
KrIagz0l,03/05/2025,15:00,ARGENTINA,ARGENTINA: PRIMERA NACIONAL,Club A. Guemes,Atletico Atlanta,2.55,2.8,3.2,3.5,1.3,2.63,1.44,03/05/2025 15:00
4Wi3DeiK,03/05/2025,15:30,ARGENTINA,ARGENTINA: PRIMERA NACIONAL,Almagro,San Miguel,3.0,2.75,2.4,3.1,1.36,2.38,1.53,03/05/2025 15:30
hWWGIjTa,03/05/2025,15:30,ARGENTINA,ARGENTINA: PRIMERA NACIONAL,San Telmo,Almirante Brown,2.15,3.0,3.7,2.7,1.44,2.2,1.62,03/05/2025 15:30
zuGgcq1M,03/05/2025,17:05,ARGENTINA,ARGENTINA: PRIMERA NACIONAL,Los Andes,Deportivo Madryn,2.3,2.9,3.4,3.4,1.33,2.63,1.44,03/05/2025 17:05
K4gz6Dqf,03/05/2025,19:05,ARGENTINA,ARGENTINA: PRIMERA NACIONAL,Deportivo Moron,Defensores Unidos,1.75,3.4,5.0,2.7,1.44,2.5,1.5,03/05/2025 19:05
lO9GkhaD,03/05/2025,21:10,ARGENTINA,ARGENTINA: PRIMERA NACIONAL,Ferro,Quilmes,2.25,3.1,3.4,2.88,1.4,2.5,1.5,03/05/2025 21:10
tCJqkRoC,03/05/2025,18:05,ARGENTINA,ARGENTINA: TORNEO FEDERAL,Atl. Rafaela,Sarmiento de La Banda,,,,,,,,03/05/2025 18:05
0QDtMkuB,03/05/2025,09:00,ARMENIA,ARMENIA: PREMIER LEAGUE,Ararat-Armenia,Shirak Gyumri,,,,,,,,03/05/2025 09:00
vBPXNBAb,03/05/2025,12:00,ARMENIA,ARMENIA: PREMIER LEAGUE,Urartu,West Armenia,,,,,,,,03/05/2025 12:00
dzWmQyrH,03/05/2025,19:30,ARUBA,ARUBA: DIVISION DI HONOR - WINNERS STAGE,Dakota,Racing Club Aruba,,,,,,,,03/05/2025 19:30
h2PdOFCT,03/05/2025,21:30,ARUBA,ARUBA: DIVISION DI HONOR - WINNERS STAGE,Deportivo Nacional,Estrella,,,,,,,,03/05/2025 21:30
lI8bI1ho,03/05/2025,13:30,ASIA,ASIA: AFC CHAMPIONS LEAGUE - PLAY OFFS - FINAL,Al Ahli SC (Sau),Kawasaki Frontale (Jpn),1.39,5.3,7.0,1.44,2.85,1.65,2.15,03/05/2025 13:30
v1EbZ6BE,03/05/2025,04:00,AUSTRALIA,AUSTRALIA: A-LEAGUE,Melbourne City,Sydney FC,1.9,4.0,3.6,1.5,2.63,1.5,2.5,03/05/2025 04:00
KvvhuBf4,03/05/2025,05:00,AUSTRALIA,AUSTRALIA: A-LEAGUE,Western United,Auckland FC,1.91,3.9,3.5,1.57,2.38,1.53,2.38,03/05/2025 05:00
nRH6XptR,03/05/2025,06:35,AUSTRALIA,AUSTRALIA: A-LEAGUE,Macarthur FC,WS Wanderers,3.5,4.1,1.91,1.33,3.4,1.33,3.25,03/05/2025 06:35
jLcR37z3,03/05/2025,02:00,AUSTRALIA,AUSTRALIA: NPL ACT,Monaro Panthers,Yoogali,1.11,7.0,17.0,1.26,3.5,2.03,1.7,03/05/2025 02:00
0WUYcHnp,03/05/2025,02:00,AUSTRALIA,AUSTRALIA: NPL ACT,O'Connor Knights,Queanbeyan City,1.83,4.05,3.4,1.44,2.4,1.45,2.37,03/05/2025 02:00
EcqVpmVG,03/05/2025,02:00,AUSTRALIA,AUSTRALIA: NPL ACT,Tigers FC,Tuggeranong Utd,1.48,4.6,4.8,1.36,2.9,1.55,2.31,03/05/2025 02:00
zuxOgJpn,03/05/2025,01:00,AUSTRALIA,AUSTRALIA: NPL NORTHERN NSW,Newcastle Olympic,New Lambton,1.22,6.0,8.0,1.33,3.25,1.7,1.93,03/05/2025 01:00
r5uWicFb,03/05/2025,03:30,AUSTRALIA,AUSTRALIA: NPL NORTHERN NSW,Edgeworth E.,Weston Bears,2.05,3.6,2.88,1.5,2.5,1.36,2.67,03/05/2025 03:30
4KTvjypB,03/05/2025,04:00,AUSTRALIA,AUSTRALIA: NPL NORTHERN NSW,Valentine,Broadmeadow,8.5,8.0,1.17,1.2,4.33,1.6,2.07,03/05/2025 04:00
YcdIiMVi,03/05/2025,03:00,AUSTRALIA,AUSTRALIA: NPL NSW,Sutherland Sharks,APIA Leichhardt,4.3,4.2,1.62,1.45,2.37,1.52,2.22,03/05/2025 03:00
h0CJk004,03/05/2025,04:30,AUSTRALIA,AUSTRALIA: NPL NSW,NWS Spirit,Wollongong Wolves,2.25,3.75,2.65,1.53,2.2,1.5,2.27,03/05/2025 04:30
0QFRmvVG,03/05/2025,06:15,AUSTRALIA,AUSTRALIA: NPL NSW,St. George City,Central Coast Mariners U23,1.4,4.5,6.6,1.44,2.4,1.6,2.05,03/05/2025 06:15
llXcB6MU,03/05/2025,04:15,AUSTRALIA,AUSTRALIA: NPL QUEENSLAND,Queensland Lions,Olympic FC,1.45,4.4,5.8,1.45,2.37,1.57,2.1,03/05/2025 04:15
hIBbFIYo,03/05/2025,05:00,AUSTRALIA,AUSTRALIA: NPL QUEENSLAND,Brisbane City,Peninsula,4.2,4.3,1.62,1.4,2.52,1.47,2.32,03/05/2025 05:00
AD66MN97,03/05/2025,02:30,AUSTRALIA,AUSTRALIA: NPL SOUTH AUSTRALIA,Campbelltown City,Adelaide United U23,1.95,4.0,3.05,1.35,2.72,1.35,2.7,03/05/2025 02:30
2m3bOque,03/05/2025,02:30,AUSTRALIA,AUSTRALIA: NPL SOUTH AUSTRALIA,Modbury Jets,NE Metrostars,3.95,4.0,1.7,1.44,2.4,1.47,2.32,03/05/2025 02:30
CIOJVRnL,03/05/2025,02:30,AUSTRALIA,AUSTRALIA: NPL SOUTH AUSTRALIA,Para,Adelaide City,4.2,4.05,1.65,1.47,2.32,1.52,2.22,03/05/2025 02:30
tYEkQ5Ar,03/05/2025,02:30,AUSTRALIA,AUSTRALIA: NPL SOUTH AUSTRALIA,Playford Patriots,West Torrens,1.75,3.85,3.8,1.4,2.52,1.42,2.47,03/05/2025 02:30
vaFiq24M,03/05/2025,01:30,AUSTRALIA,AUSTRALIA: NPL TASMANIA,Devonport,Clarence Zebras,1.02,12.0,40.0,,,2.35,1.47,03/05/2025 01:30
bqdOwtSq,03/05/2025,03:30,AUSTRALIA,AUSTRALIA: NPL TASMANIA,Riverside Olympic,South Hobart,12.5,6.7,1.16,,,1.57,2.1,03/05/2025 03:30
WdfWyKdd,03/05/2025,03:45,AUSTRALIA,AUSTRALIA: NPL TASMANIA,Glenorchy Knights,Launceston,1.62,4.25,4.15,1.36,2.65,1.42,2.47,03/05/2025 03:45
hUJsGxWH,03/05/2025,02:00,AUSTRALIA,AUSTRALIA: NPL VICTORIA,Avondale FC,South Melbourne,1.36,4.9,7.1,1.55,2.3,1.85,1.87,03/05/2025 02:00
bToFcUFj,03/05/2025,06:00,AUSTRALIA,AUSTRALIA: NPL VICTORIA,Dandenong Thunder,St Albans,1.77,4.0,3.5,1.35,2.95,1.38,2.8,03/05/2025 06:00
hEyrgQuR,03/05/2025,02:00,AUSTRALIA,AUSTRALIA: CAPITAL PREMIER LEAGUE,Canberra White Eagles,Brindabella,4.15,4.15,1.6,1.42,2.65,1.49,2.46,03/05/2025 02:00
tzjexdH8,03/05/2025,02:30,AUSTRALIA,AUSTRALIA: CAPITAL PREMIER LEAGUE,West Canberra Wanderers,Belconnen Utd.,,,,,,,,03/05/2025 02:30
dKPIsLld,03/05/2025,03:30,AUSTRALIA,AUSTRALIA: NORTHERN NSW STATE LEAGUE,Lake Macquarie,Singleton Strikers,,,,,,,,03/05/2025 03:30
GOh6oAzp,03/05/2025,03:15,AUSTRALIA,AUSTRALIA: NSW LEAGUE ONE,Northern Tigers,Dulwich Hill,1.36,4.7,6.6,1.45,2.55,1.66,2.09,03/05/2025 03:15
CjnFql5d,03/05/2025,04:00,AUSTRALIA,AUSTRALIA: NSW LEAGUE ONE,Bankstown City Lions,Hakoah Sydney,2.02,3.5,3.15,1.51,2.4,1.46,2.55,03/05/2025 04:00
0CS95VRF,03/05/2025,06:00,AUSTRALIA,AUSTRALIA: NSW LEAGUE ONE,Bonnyrigg White Eagles,Canterbury Bankstown,2.75,3.5,2.21,1.45,2.55,1.41,2.7,03/05/2025 06:00
js7lbmKk,03/05/2025,06:00,AUSTRALIA,AUSTRALIA: NSW LEAGUE ONE,Bulls Academy,Rydalmere Lions,1.76,3.8,3.7,1.43,2.65,1.44,2.6,03/05/2025 06:00
b7AddRl2,03/05/2025,06:00,AUSTRALIA,AUSTRALIA: NSW LEAGUE ONE,Hills United,UNSW,3.75,3.9,1.73,1.4,2.75,1.42,2.65,03/05/2025 06:00
69VH39dS,03/05/2025,06:00,AUSTRALIA,AUSTRALIA: NSW LEAGUE ONE,Inter Lions,Macarthur Rams,1.5,4.5,4.8,1.34,2.95,1.45,2.55,03/05/2025 06:00
4pZ07ic3,03/05/2025,06:00,AUSTRALIA,AUSTRALIA: NSW LEAGUE ONE,Newcastle Jets U23,SD Raiders,2.02,3.6,3.05,1.48,2.48,1.45,2.6,03/05/2025 06:00
AyXKOTAb,03/05/2025,04:00,AUSTRALIA,AUSTRALIA: QUEENSLAND PREMIER LEAGUE,Capalaba,SWQ Thunder,2.1,3.9,2.77,1.27,3.1,1.27,3.1,03/05/2025 04:00
jZGJQktn,03/05/2025,04:00,AUSTRALIA,AUSTRALIA: QUEENSLAND PREMIER LEAGUE,Rochedale,Broadbeach Utd.,2.0,4.1,2.9,1.31,2.87,1.32,2.82,03/05/2025 04:00
I1zTM7uB,03/05/2025,04:15,AUSTRALIA,AUSTRALIA: QUEENSLAND PREMIER LEAGUE,Magic United,Ipswich,1.53,4.7,4.45,1.28,3.0,1.38,2.6,03/05/2025 04:15
vHOyLoAN,03/05/2025,05:00,AUSTRALIA,AUSTRALIA: QUEENSLAND PREMIER LEAGUE,Brisbane Strikers,Logan Lightning,2.25,4.15,2.5,1.3,2.92,1.31,2.87,03/05/2025 05:00
0658JYYI,03/05/2025,06:00,AUSTRALIA,AUSTRALIA: QUEENSLAND PREMIER LEAGUE,Holland Park Hawks,Southside Eagles,1.65,4.45,3.85,1.25,3.2,1.31,2.87,03/05/2025 06:00
QePHOQ3s,03/05/2025,02:30,AUSTRALIA,AUSTRALIA: SA STATE LEAGUE,Cumberland Utd.,West Adelaide,2.12,4.0,2.65,1.38,2.8,1.38,2.8,03/05/2025 02:30
b9NPM4Yg,03/05/2025,02:30,AUSTRALIA,AUSTRALIA: SA STATE LEAGUE,Fulham Utd.,Salisbury Utd.,2.12,4.0,2.65,1.39,2.8,1.39,2.8,03/05/2025 02:30
fyHYKr36,03/05/2025,02:30,AUSTRALIA,AUSTRALIA: SA STATE LEAGUE,Pontian Eagles,Blue Eagles,5.2,5.2,1.4,1.33,3.05,1.49,2.46,03/05/2025 02:30
0YJtJMXI,03/05/2025,04:30,AUSTRALIA,AUSTRALIA: SA STATE LEAGUE,Sturt Lions,Adelaide Olympic,1.93,4.6,2.75,1.41,2.7,1.44,2.6,03/05/2025 04:30
tUdTtQPP,03/05/2025,06:30,AUSTRALIA,AUSTRALIA: SA STATE LEAGUE,Adelaide Cobras,Adelaide Vipers,1.57,4.3,4.3,1.53,2.34,1.61,2.18,03/05/2025 06:30
lGXD9Zed,03/05/2025,01:15,AUSTRALIA,AUSTRALIA: TASMANIA NORTHERN CHAMPIONSHIP,Northern Rangers,Launceston U21,,,,,,,,03/05/2025 01:15
2aZ5BeRq,03/05/2025,01:15,AUSTRALIA,AUSTRALIA: TASMANIA NORTHERN CHAMPIONSHIP,Riverside Olympic U21,Somerset,,,,,,,,03/05/2025 01:15
4OF0Xxl3,03/05/2025,03:45,AUSTRALIA,AUSTRALIA: TASMANIA NORTHERN CHAMPIONSHIP,Devonport U21,Burnie Utd.,,,,,,,,03/05/2025 03:45
xxE8VGIF,03/05/2025,03:45,AUSTRALIA,AUSTRALIA: TASMANIA NORTHERN CHAMPIONSHIP,Launceston United U21,Ulverstone,,,,,,,,03/05/2025 03:45
8ngDtB1c,03/05/2025,01:30,AUSTRALIA,AUSTRALIA: TASMANIA SOUTHERN CHAMPIONSHIP,Hobart City,Olympia Warriors,1.72,4.4,3.3,,,,,03/05/2025 01:30
dfAeOToT,03/05/2025,01:30,AUSTRALIA,AUSTRALIA: TASMANIA SOUTHERN CHAMPIONSHIP,Hobart Utd.,New Town,,,,,,,,03/05/2025 01:30
hvBQI79j,03/05/2025,01:30,AUSTRALIA,AUSTRALIA: TASMANIA SOUTHERN CHAMPIONSHIP,University of Tasmania,South Hobart U21,8.25,6.5,1.2,,,,,03/05/2025 01:30
Sb6veoue,03/05/2025,02:15,AUSTRALIA,AUSTRALIA: VICTORIA PREMIER LEAGUE,Manningham United Blues,Northcote City,2.57,4.05,2.2,1.35,2.72,1.35,2.7,03/05/2025 02:15
0C4ngP97,03/05/2025,04:30,AUSTRALIA,AUSTRALIA: VICTORIA PREMIER LEAGUE,Langwarrin,Western Utd. U21,5.2,4.9,1.44,1.24,3.3,1.36,2.67,03/05/2025 04:30
GKnZGS1E,03/05/2025,05:00,AUSTRALIA,AUSTRALIA: VICTORIA PREMIER LEAGUE,George Cross,Melbourne Srbija,1.47,4.85,4.8,1.28,3.05,1.39,2.55,03/05/2025 05:00
UHsSiuJ7,03/05/2025,04:00,AUSTRALIA,AUSTRALIA: WA STATE LEAGUE,Curtin Univ,Murdoch Melville,,,,,,,,03/05/2025 04:00
d4qKg1le,03/05/2025,04:00,AUSTRALIA,AUSTRALIA: WA STATE LEAGUE,Gosnells City,Subiaco,,,,,,,,03/05/2025 04:00
0xjBeNJr,03/05/2025,04:00,AUSTRALIA,AUSTRALIA: WA STATE LEAGUE,Kalamunda City,Gwelup Croatia,,,,,,,,03/05/2025 04:00
j34u1qdL,03/05/2025,04:00,AUSTRALIA,AUSTRALIA: WA STATE LEAGUE,Kingsley Westside,Nedlands,,,,,,,,03/05/2025 04:00
UmGW25R8,03/05/2025,04:00,AUSTRALIA,AUSTRALIA: WA STATE LEAGUE,Mandurah City,Joondalup,2.02,3.65,2.92,1.5,2.42,1.47,2.5,03/05/2025 04:00
pQPEFrBE,03/05/2025,06:00,AUSTRALIA,AUSTRALIA: WA STATE LEAGUE,Dianella White Eagle,Inglewood Utd,,,,,,,,03/05/2025 06:00
jki22PGl,03/05/2025,01:15,AUSTRALIA,AUSTRALIA: A-LEAGUE WOMEN - PLAY OFFS - SEMI-FINALS,Central Coast Mariners W,Melbourne City W,4.2,3.75,1.65,1.62,2.02,1.68,2.06,03/05/2025 01:15
E5RKDiYo,03/05/2025,12:00,AUSTRIA,AUSTRIA: BUNDESLIGA - RELEGATION GROUP,Tirol,LASK,4.33,3.7,1.75,1.85,1.95,1.8,1.95,03/05/2025 12:00
zuS6eiG5,03/05/2025,15:00,AUSTRIA,AUSTRIA: 2. LIGA,Sturm Graz II,St. Polten,4.8,4.2,1.57,1.47,2.5,1.53,2.35,03/05/2025 15:00
bHmq7BFF,03/05/2025,10:00,AZERBAIJAN,AZERBAIJAN: PREMIER LEAGUE,Shamakhi,Sabail,,,,,,,,03/05/2025 10:00
WUoi5kpS,03/05/2025,12:30,AZERBAIJAN,AZERBAIJAN: PREMIER LEAGUE,Araz,Sabah Baku,,,,,,,,03/05/2025 12:30
h8MIPIzh,03/05/2025,06:45,BANGLADESH,BANGLADESH: PREMIER LEAGUE,Brothers U.,Rahmatgonj MFS,,,,,,,,03/05/2025 06:45
lzGRNd54,03/05/2025,06:45,BANGLADESH,BANGLADESH: PREMIER LEAGUE,Fakirerpool YMC,Chittagong Abahani,,,,,,,,03/05/2025 06:45
Iu1wY4Yq,03/05/2025,20:00,BARBADOS,BARBADOS: PREMIER LEAGUE,Silver Sands,Deacons,,,,,,,,03/05/2025 20:00
Q54oWr3d,03/05/2025,22:00,BARBADOS,BARBADOS: PREMIER LEAGUE,Pride of Gall Hill,Weymouth Wales,,,,,,,,03/05/2025 22:00
QXxqCoif,03/05/2025,09:00,BELARUS,BELARUS: VYSSHAYA LIGA,Din. Minsk,Vitebsk,,,,,,,,03/05/2025 09:00
AJXSBxcB,03/05/2025,11:00,BELARUS,BELARUS: VYSSHAYA LIGA,Smorgon,Zhodino,,,,,,,,03/05/2025 11:00
EivKDbSb,03/05/2025,13:00,BELARUS,BELARUS: VYSSHAYA LIGA,ML Vitebsk,Neman,,,,,,,,03/05/2025 13:00
6RzCFKcn,03/05/2025,14:55,BELARUS,BELARUS: VYSSHAYA LIGA,Dynamo Brest,Slavia Mozyr,,,,,,,,03/05/2025 14:55
EJvu8I6N,03/05/2025,08:00,BELARUS,BELARUS: PERSHAYA LIGA,BumProm Gomel,Volna Pinsk,,,,,,,,03/05/2025 08:00
n7mOB07b,03/05/2025,09:00,BELARUS,BELARUS: PERSHAYA LIGA,Belshina,Minsk 2,,,,,,,,03/05/2025 09:00
8t0EMHLG,03/05/2025,10:00,BELARUS,BELARUS: PERSHAYA LIGA,Niva Dolbizno,Belarus U19,,,,,,,,03/05/2025 10:00
MP16Owi4,03/05/2025,11:00,BELARUS,BELARUS: PERSHAYA LIGA,BATE 2,Baranovici,,,,,,,,03/05/2025 11:00
48gNKejT,03/05/2025,12:00,BELARUS,BELARUS: PERSHAYA LIGA,Osipovichi,Uni X Labs,,,,,,,,03/05/2025 12:00
6y8YmqE8,03/05/2025,11:00,BELGIUM,BELGIUM: JUPILER PRO LEAGUE - RELEGATION - SEMI-FINALS,Lokeren-Temse,Patro Eisden,2.77,3.2,2.67,1.95,1.85,1.7,2.07,03/05/2025 11:00
0nywZOFk,03/05/2025,11:00,BELGIUM,BELGIUM: JUPILER PRO LEAGUE - RELEGATION GROUP,Cercle Brugge KSV,Kortrijk,1.9,3.5,3.8,1.85,2.0,1.7,2.05,03/05/2025 11:00
vuJ1Yx7l,03/05/2025,15:45,BELGIUM,BELGIUM: JUPILER PRO LEAGUE - CHAMPIONSHIP GROUP,Royale Union SG,Genk,1.9,3.6,3.7,1.67,2.15,1.62,2.2,03/05/2025 15:45
695X0v46,03/05/2025,13:15,BELGIUM,BELGIUM: JUPILER PRO LEAGUE - CONFERENCE LEAGUE GROUP,Leuven,KV Mechelen,2.6,3.3,2.55,1.8,2.0,1.62,2.2,03/05/2025 13:15
hlh24ZY2,03/05/2025,14:30,BELGIUM,BELGIUM: SECOND AMATEUR DIVISION PLAY OFFS - QUARTER-FINALS,Waregem 2,Boom,,,,,,,,03/05/2025 14:30
Q10hxMne,03/05/2025,12:00,BENIN,BENIN: LIGUE 1,AS Cotonou,Requins,,,,,,,,03/05/2025 12:00
bFb0z0H7,03/05/2025,12:00,BENIN,BENIN: LIGUE 1,Ayema,JS Pobe,,,,,,,,03/05/2025 12:00
zkLPZqYP,03/05/2025,12:00,BENIN,BENIN: LIGUE 1,Dadje,Dynamo Abomey,,,,,,,,03/05/2025 12:00
I9OlUNem,03/05/2025,12:00,BENIN,BENIN: LIGUE 1,Dynamique Djougou,Abeilles,,,,,,,,03/05/2025 12:00
xb3ub39E,03/05/2025,12:00,BENIN,BENIN: LIGUE 1,Sitatunga,ASPAC,,,,,,,,03/05/2025 12:00
QZRdS1Qa,03/05/2025,12:00,BENIN,BENIN: LIGUE 1,Takunnin,FC Loto,,,,,,,,03/05/2025 12:00
nkG5QueC,03/05/2025,12:00,BENIN,BENIN: LIGUE 1,Tonnerre,Espoir,,,,,,,,03/05/2025 12:00
Us5r1uwn,03/05/2025,16:00,BOLIVIA,BOLIVIA: DIVISION PROFESIONAL,Nacional Potosi,Oriente Petrolero,1.25,5.5,8.0,1.33,3.4,1.67,2.1,03/05/2025 16:00
x88jaJ7b,03/05/2025,18:30,BOLIVIA,BOLIVIA: DIVISION PROFESIONAL,The Strongest,Guabira,1.17,6.5,13.0,1.33,3.4,1.83,1.83,03/05/2025 18:30
YZ1accxB,03/05/2025,21:00,BOLIVIA,BOLIVIA: DIVISION PROFESIONAL,Tomayapo,Aurora,2.25,3.4,2.75,1.98,1.83,1.8,1.91,03/05/2025 21:00
0dYuKASh,03/05/2025,08:30,BOSNIA AND HERZEGOVINA,BOSNIA AND HERZEGOVINA: WWIN LIGA BIH,Sloga Doboj,FK Sarajevo,4.2,3.55,1.75,1.98,1.65,1.93,1.7,03/05/2025 08:30
faVXLWct,03/05/2025,11:00,BOSNIA AND HERZEGOVINA,BOSNIA AND HERZEGOVINA: WWIN LIGA BIH,Velez Mostar,Zrinjski,4.75,3.45,1.7,1.85,1.75,1.78,1.82,03/05/2025 11:00
GYaN1TCO,03/05/2025,15:45,BOSNIA AND HERZEGOVINA,BOSNIA AND HERZEGOVINA: WWIN LIGA BIH,Siroki Brijeg,Borac Banja Luka,6.6,4.4,1.4,1.7,1.93,1.91,1.7,03/05/2025 15:45
